Mandal,Index,% Hindu,% Muslims,% Gen Population,% SC Population,% ST Population,% SC ST Population,% Telugu & Urdu,%Others
Tirumalgiri mandal,6.122764286,78.78849066,12.18668258,85.94,13.08,0.98,14.06,71.6701699,28.3298301
Maredpally mandal,7.061939571,77.91668116,11.72931808,83.38,14.87,1.75,16.62,85.07036213,14.92963787
Secunderabad mandal,6.939411143,75.45763463,15.92080963,89.3,10.16,0.54,10.7,76.53729094,23.46270906
Khairatabad mandal,7.082063429,68.14451794,25.85478195,92.03,6.78,1.19,7.97,89.18101288,10.81898712
Shaikpet mandal,5.846468714,66.88305995,28.47823315,91.34,7.01,1.65,8.66,89.58953573,10.41046427
Golkonda mandal,6.615195857,33.56971114,62.62543413,95.53,4.03,0.44,4.47,91.01983043,8.980169573
Asifnagar mandal,6.426841286,44.11017821,52.71228255,93.26,6.09,0.65,6.74,83.44040504,16.55959496
Nampally mandal,6.047302,71.06316468,20.55043352,93.16,6.48,0.36,6.84,52.79282704,47.20717296
Himayatnagar mandal,7.581271714,74.19536933,17.40482316,92.86,6.56,0.58,7.14,68.65971367,31.34028633
Amberpet mandal,7.569729,76.55348468,20.38968989,92.11,6.67,1.22,7.89,92.27588273,7.724117272
Charminar mandal,7.449533286,9.233819036,89.09442158,98.12,1.49,0.39,1.88,96.76464894,3.235351061
Saidabad mandal,7.220686286,46.94205171,50.48998907,92.44,5.88,1.68,7.56,94.52508085,5.474919155
Bandlaguda mandal,6.648496429,32.34653672,65.02318341,93.98,4.27,1.75,6.02,93.85480613,6.145193871
Bahadurpura mandal,6.318090571,17.62311015,80.25687909,96.18,1.58,2.24,3.82,91.02076649,8.979233507
Musheerabad mandal,7.149814571,75.14610721,19.36865587,90.38,8.6,1.02,9.62,92.25064034,7.749359658
Ameerpet mandal,8.14016,86.45505333,6.136786863,90.26,6.12,3.62,9.74,81.91637041,18.08362959
Balanagar mandal,7.234619143,80.95514757,13.19586758,92.72,5.1,2.18,7.28,90.18895912,9.811040878
Quthbullapur mandal,4.803524,82.584434,11.38328327,90.98,7.21,1.81,9.02,87.30257039,12.69742961
Malkajgiri mandal,6.539438857,84.60917231,7.341665639,86.05,12.31,1.64,13.95,83.37600731,16.62399269
Keesara mandal,5.277423,89.54977212,5.107508686,87.38,9.91,2.71,12.62,89.06919814,10.93080186
Ghatkesar mandal,4.930805714,88.59061471,7.004989914,85.77,11.45,2.78,14.23,93.1132416,6.886758398
Uppal mandal,5.939534143,87.16255018,7.244923149,88.34,9.55,2.11,11.66,90.362313,9.637686997
Serilingampalle mandal,5.090684714,81.58476658,12.05515324,90.75,7.1,2.15,9.25,84.56291219,15.43708781
Hayathnagar mandal,5.181587571,90.60366645,5.524329321,86.26,10.08,3.66,13.74,93.09359801,6.906401989
Saroornagar mandal,5.922047857,82.73928787,14.55217084,88.73,8.39,2.88,11.27,93.22791819,6.772081806
Rajendranagar mandal,3.947197857,60.83209897,34.69325303,89.91,8.78,1.31,10.09,86.87035078,13.12964922
Patancheruvu mandal,4.331702857,87.36800447,8.935178496,87.89,10.67,1.44,12.11,90.26075595,9.739244053
Ramachandrapuram mandal,5.919285143,84.08163265,10.49184527,85,12.97,2.03,15,89.39202459,10.60797541
